id,subject,unit,term,range,question,choice1,choice2,choice3,choice4,choice5,choice6,choice7,choice8,answer,explanation,tags,difficulty,enabled
leap_en_0001,英語,英単語 LEAP 英訳,1学期,範囲A,次の意味に最も近い英単語を選びなさい: ①賛成する ②（主語の中で）意見が一致する ③（with ～）（気候，食べ物が）（～に）合う,agree,claim,excuse,technology,manage,taste,state,customer,1,agree が正解です。意味は「①賛成する ②（主語の中で）意見が一致する ③（with ～）（気候，食べ物が）（～に）合う」。 語源メモ: gree「喜び、慈悲深さ」。,環境,2,true
leap_en_0002,英語,英単語 LEAP 英訳,1学期,範囲B,次の意味に最も近い英単語を選びなさい: ～に反対する,oppose,complain,celebrate,research,improve,rule,political,passenger,1,oppose が正解です。意味は「～に反対する」。 語源メモ: op「反対の」pose「置く」。,経済,2,true
leap_en_0003,英語,英単語 LEAP 英訳,1学期,範囲C,次の意味に最も近い英単語を選びなさい: ～に忠告する,advise,offer,admire,material,produce,role,price,elderly,1,advise が正解です。意味は「～に忠告する」。 語源メモ: ad-（の方を）+videre（見る）。,環境,2,true
leap_en_0004,英語,英単語 LEAP 英訳,1学期,範囲D,次の意味に最も近い英単語を選びなさい: ①助言，ヒント ②チップ ③（足や山などの）先，先端（いずれも〈可算〉）,tip,suggest,impress,artificial,create,habit,cost,female,1,tip が正解です。意味は「①助言，ヒント ②チップ ③（足や山などの）先，先端（いずれも〈可算〉）」。 語源メモ: ？。,環境,2,true
leap_en_0005,英語,英単語 LEAP 英訳,1学期,範囲E,次の意味に最も近い英単語を選びなさい: ①～について話し合う，議論する ②～を話題に出す,discuss,recommend,award,electric,establish,custom,sum,head,1,discuss が正解です。意味は「①～について話し合う，議論する ②～を話題に出す」。 語源メモ: dis-「否定、離れて、強意」、cuss「振る」。,IT,2,true
leap_en_0006,英語,英単語 LEAP 英訳,1学期,範囲A,次の意味に最も近い英単語を選びなさい: ～に責任があるとする,blame,grateful,describe,invent,save,tradition,budget,follow,1,"blame が正解です。意味は「～に責任があるとする」。 語源メモ: blas-,mlas-（悪い）＋phemi（話す）=「悪く言うこと」。",環境,2,true
leap_en_0007,英語,英単語 LEAP 英訳,1学期,範囲B,次の意味に最も近い英単語を選びなさい: ①（that S V）～と主張する ②（with ～）（～と）言い争う,argue,apologize,explain,discover,medicine,society,fee,wander,1,argue が正解です。意味は「①（that S V）～と主張する ②（with ～）（～と）言い争う」。 語源メモ: arguo（明白にする）→herg-（銀白の）＝「明白にすること」。,IT,2,true
leap_en_0008,英語,英単語 LEAP 英訳,1学期,範囲C,次の意味に最も近い英単語を選びなさい: ①（that S V）～と主張する ②～を要求する，主張する ③主張，要求,claim,excuse,communicate,develop,patient,law,fare,travel,1,claim が正解です。意味は「①（that S V）～と主張する ②～を要求する，主張する ③主張，要求」。 語源メモ: 叫ぶ。,経済,2,true
leap_en_0009,英語,英単語 LEAP 英訳,1学期,範囲D,次の意味に最も近い英単語を選びなさい: ①文句を言う，苦情を言う ②（of ～）（病気などを）訴える,complain,celebrate,express,skill,condition,ancestor,bill,pass,1,complain が正解です。意味は「①文句を言う，苦情を言う ②（of ～）（病気などを）訴える」。 語源メモ: com(強意）+ plangere(胸をたたく）。,経済,2,true
leap_en_0010,英語,英単語 LEAP 英訳,1学期,範囲E,次の意味に最も近い英単語を選びなさい: ①～を申し出る ②申し出 ③値引き,offer,admire,promise,ability,medical,population,trade,likely,1,offer が正解です。意味は「①～を申し出る ②申し出 ③値引き」。 語源メモ: of「その方向へ」fer「運ぶ」。,経済,2,true
leap_en_0011,英語,英単語 LEAP 英訳,1学期,範囲A,次の意味に最も近い英単語を選びなさい: ①～を示唆する ②～を提案する,suggest,impress,information,talent,stress,native,wealth,natural,1,suggest が正解です。意味は「①～を示唆する ②～を提案する」。 語源メモ: sub(下から)とgerere(運ぶ)。,経済,2,true
leap_en_0012,英語,英単語 LEAP 英訳,1学期,範囲B,次の意味に最も近い英単語を選びなさい: ～を推薦する，勧める,recommend,award,technology,effort,suffer,abroad,economy,certain,1,recommend が正解です。意味は「～を推薦する，勧める」。 語源メモ: re-（強調）＋commendo（委ねる）→com-（一緒に）＋mando（委ねる）→manus（手）＋do（与える）。,環境,2,true
leap_en_0013,英語,英単語 LEAP 英訳,1学期,範囲C,次の意味に最も近い英単語を選びなさい: 感謝している,grateful,describe,research,practice,exercise,local,company,probably,1,grateful が正解です。意味は「感謝している」。 語源メモ: gratus（感謝した）＋-ful（～に満ちている）。,環境,2,true
leap_en_0014,英語,英単語 LEAP 英訳,1学期,範囲D,次の意味に最も近い英単語を選びなさい: （to ～）（～に）謝る,apologize,explain,material,game,breathe,survey,task,face,1,apologize が正解です。意味は「（to ～）（～に）謝る」。 語源メモ: apology（謝罪）＋-ize（～する）→apologie（弁明）。,IT,2,true
leap_en_0015,英語,英単語 LEAP 英訳,1学期,範囲E,次の意味に最も近い英単語を選びなさい: ①言い訳 ②～を許す ③（A from B）（B からA）を免除する,excuse,communicate,artificial,achieve,thirsty,evidence,earn,avoid,1,excuse が正解です。意味は「①言い訳 ②～を許す ③（A from B）（B からA）を免除する」。,経済,2,true
leap_en_0016,英語,英単語 LEAP 英訳,1学期,範囲A,次の意味に最も近い英単語を選びなさい: ①～を祝う ②（儀式など）を挙行する，執り行なう,celebrate,express,electric,manage,physical,value,hurt,solve,1,celebrate が正解です。意味は「①～を祝う ②（儀式など）を挙行する，執り行なう」。 語源メモ: celeber（大勢の人を収容した）。,経済,2,true
leap_en_0017,英語,英単語 LEAP 英訳,1学期,範囲B,次の意味に最も近い英単語を選びなさい: ～に感心する，称賛する,admire,promise,invent,improve,fever,treasure,injure,trouble,1,admire が正解です。意味は「～に感心する，称賛する」。 語源メモ: ad-（～に [to]）＋miror（驚嘆する）＝「驚嘆すること」。,経済,2,true
leap_en_0018,英語,英単語 LEAP 英訳,1学期,範囲C,次の意味に最も近い英単語を選びなさい: ～に感銘を与える，～を感心させる,impress,information,discover,produce,strength,fashion,damage,issue,1,impress が正解です。意味は「～に感銘を与える，～を感心させる」。 語源メモ: in（中に）＋press(押す)。,環境,2,true
leap_en_0019,英語,英単語 LEAP 英訳,1学期,範囲D,次の意味に最も近い英単語を選びなさい: ①賞 ②～を授与する,award,technology,develop,create,tear,public,destroy,cheer,1,award が正解です。意味は「①賞 ②～を授与する」。 語源メモ: awarder（決定する）→ex-（外へ）＋wardo（じっと見る）。,経済,2,true
leap_en_0020,英語,英単語 LEAP 英訳,1学期,範囲E,次の意味に最も近い英単語を選びなさい: ～を説明する,describe,research,skill,establish,taste,vote,ruin,encourage,1,describe が正解です。意味は「～を説明する」。 語源メモ: de「下へ」scribe「書く」＝「書き下す」。,経済,2,true
leap_en_0021,英語,英単語 LEAP 英訳,1学期,範囲A,次の意味に最も近い英単語を選びなさい: ～を説明する,explain,material,ability,save,rule,government,danger,support,1,explain が正解です。意味は「～を説明する」。 語源メモ: plain「平ら、飛行機」。,環境,2,true
leap_en_0022,英語,英単語 LEAP 英訳,1学期,範囲B,次の意味に最も近い英単語を選びなさい: ①（with ～）（～と）意思の疎通をはかる ②～を伝える,communicate,artificial,talent,medicine,role,nation,neighbor,prevent,1,communicate が正解です。意味は「①（with ～）（～と）意思の疎通をはかる ②～を伝える」。 語源メモ: com「共に」mun「変わる」ate「する」/communis（分かち合う）。,IT,2,true
leap_en_0023,英語,英単語 LEAP 英訳,1学期,範囲C,次の意味に最も近い英単語を選びなさい: ①（意見，気持ち）を表現する ②急行（列車，バス）,express,electric,effort,patient,habit,capital,audience,deny,1,express が正解です。意味は「①（意見，気持ち）を表現する ②急行（列車，バス）」。 語源メモ: ex「外へ」press「押す」＝「物や感情を押し出す」。,IT,2,true
leap_en_0024,英語,英単語 LEAP 英訳,1学期,範囲D,次の意味に最も近い英単語を選びなさい: ①約束 ②～を約束する,promise,invent,practice,condition,custom,state,crowd,enable,1,promise が正解です。意味は「①約束 ②～を約束する」。 語源メモ: pro-「前に、前もって、代わりの」、mise「送る」。,経済,2,true
leap_en_0025,英語,英単語 LEAP 英訳,1学期,範囲E,次の意味に最も近い英単語を選びなさい: 情報〈不可算〉,information,discover,game,medical,tradition,political,author,succeed,1,information が正解です。意味は「情報〈不可算〉」。 語源メモ: -ation「すること、するもの」、-tion「こと、もの」。,IT,2,true
leap_en_0026,英語,英単語 LEAP 英訳,1学期,範囲A,次の意味に最も近い英単語を選びなさい: （科学）技術,technology,develop,achieve,stress,society,price,staff,miss,1,technology が正解です。意味は「（科学）技術」。 語源メモ: tekhne（技術）＋-logia（研究）→tek-（織る）。,IT,2,true
leap_en_0027,英語,英単語 LEAP 英訳,1学期,範囲B,次の意味に最も近い英単語を選びなさい: ①（学術）研究 ②～を研究する,research,skill,manage,suffer,law,cost,clerk,fail,1,research が正解です。意味は「①（学術）研究 ②～を研究する」。 語源メモ: re-（強調）＋search（探す）→?circo（歩き回る）。,IT,2,true
leap_en_0028,英語,英単語 LEAP 英訳,1学期,範囲C,次の意味に最も近い英単語を選びなさい: ①材料，生地 ②資料，教材 ③物質的な ④重大な,material,ability,improve,exercise,ancestor,sum,customer,mistake,1,material が正解です。意味は「①材料，生地 ②資料，教材 ③物質的な ④重大な」。 語源メモ: materia（物質）→mater（源）＋-ia（こと）→mehter（母）。,IT,2,true
leap_en_0029,英語,英単語 LEAP 英訳,1学期,範囲D,次の意味に最も近い英単語を選びなさい: 人工的な,artificial,talent,produce,breathe,population,budget,passenger,check,1,"artificial が正解です。意味は「人工的な」。 語源メモ: ars ""技術"" + fex ""作る人""。",IT,2,true
leap_en_0030,英語,英単語 LEAP 英訳,1学期,範囲E,次の意味に最も近い英単語を選びなさい: 電気の，電動の,electric,effort,create,thirsty,native,fee,elderly,hide,1,electric が正解です。意味は「電気の，電動の」。 語源メモ: electr「電気、琥珀」。,環境,2,true
leap_en_0031,英語,英単語 LEAP 英訳,1学期,範囲A,次の意味に最も近い英単語を選びなさい: ①～を発明する ②（話など）をでっち上げる,invent,practice,establish,physical,abroad,fare,female,draw,1,invent が正解です。意味は「①～を発明する ②（話など）をでっち上げる」。 語源メモ: vent「来る」。,環境,2,true
leap_en_0032,英語,英単語 LEAP 英訳,1学期,範囲B,次の意味に最も近い英単語を選びなさい: ①～を発見する ②（that S V）～を知る，～に気がつく ③（知るという意味で）～に出会う,discover,game,save,fever,local,bill,head,join,1,discover が正解です。意味は「①～を発見する ②（that S V）～を知る，～に気がつく ③（知るという意味で）～に出会う」。 語源メモ: dis-「否定、離れて、強意」。,経済,2,true
leap_en_0033,英語,英単語 LEAP 英訳,1学期,範囲C,次の意味に最も近い英単語を選びなさい: ①発達する ②～を発達させる ③～を開発する ④（話，考え）を発展させる ⑤（病気）にかかる,develop,achieve,medicine,strength,survey,trade,follow,throw,1,develop が正解です。意味は「①発達する ②～を発達させる ③～を開発する ④（話，考え）を発展させる ⑤（病気）にかかる」。,IT,2,true
leap_en_0034,英語,英単語 LEAP 英訳,1学期,範囲D,次の意味に最も近い英単語を選びなさい: 技術，力,skill,manage,patient,tear,evidence,wealth,wander,operate,1,skill が正解です。意味は「技術，力」。 語源メモ: 古ノルド語 skil（優れた識別能力）→skilja（区別）→skelH-（切り分ける）。,環境,2,true
leap_en_0035,英語,英単語 LEAP 英訳,1学期,範囲E,次の意味に最も近い英単語を選びなさい: 能力,ability,improve,condition,taste,value,economy,travel,repair,1,ability が正解です。意味は「能力」。,環境,2,true
leap_en_0036,英語,英単語 LEAP 英訳,1学期,範囲A,次の意味に最も近い英単語を選びなさい: 才能,talent,produce,medical,rule,treasure,company,pass,sew,1,talent が正解です。意味は「才能」。,環境,2,true
leap_en_0037,英語,英単語 LEAP 英訳,1学期,範囲B,次の意味に最も近い英単語を選びなさい: 努力,effort,create,stress,role,fashion,task,likely,raise,1,effort が正解です。意味は「努力」。 語源メモ: fort「運ぶ」。,IT,2,true
leap_en_0038,英語,英単語 LEAP 英訳,1学期,範囲C,次の意味に最も近い英単語を選びなさい: ①練習 ②実践 ③慣習 ④～を練習する ⑤～を実践する,practice,establish,suffer,habit,public,earn,natural,serve,1,practice が正解です。意味は「①練習 ②実践 ③慣習 ④～を練習する ⑤～を実践する」。 語源メモ: ギリシャ語 praktikos （実践的な）。,環境,2,true
leap_en_0039,英語,英単語 LEAP 英訳,1学期,範囲D,次の意味に最も近い英単語を選びなさい: ①試合，ゲーム〈可算〉 ②獲物〈不可算〉,game,save,exercise,custom,vote,hurt,certain,pour,1,game が正解です。意味は「①試合，ゲーム〈可算〉 ②獲物〈不可算〉」。,経済,2,true
leap_en_0040,英語,英単語 LEAP 英訳,1学期,範囲E,次の意味に最も近い英単語を選びなさい: ～を達成する,achieve,medicine,breathe,tradition,government,injure,probably,spill,1,achieve が正解です。意味は「～を達成する」。 語源メモ: ラテン語 ad-（方へ）＋caput（頭）。,経済,2,true
leap_en_0041,英語,英単語 LEAP 英訳,1学期,範囲A,次の意味に最も近い英単語を選びなさい: ①（to do）何とかして～する ②～を経営する，管理する,manage,patient,thirsty,society,nation,damage,face,pretend,1,manage が正解です。意味は「①（to do）何とかして～する ②～を経営する，管理する」。 語源メモ: manege（馬の手綱捌き）→mano（操縦する）→manus（手）。,経済,2,true
leap_en_0042,英語,英単語 LEAP 英訳,1学期,範囲B,次の意味に最も近い英単語を選びなさい: ①～を改善する，磨く ②よくなる,improve,condition,physical,law,capital,destroy,avoid,behave,1,improve が正解です。意味は「①～を改善する，磨く ②よくなる」。 語源メモ: im「その方向へ」prou「利益」。,経済,2,true
leap_en_0043,英語,英単語 LEAP 英訳,1学期,範囲C,次の意味に最も近い英単語を選びなさい: ①～を生産する，産出する ②（見せるために）～を取り出す ③農作物〈不可算〉,produce,medical,fever,ancestor,state,ruin,solve,bear,1,produce が正解です。意味は「①～を生産する，産出する ②（見せるために）～を取り出す ③農作物〈不可算〉」。 語源メモ: 前へ（pro-）導く（duco）こと。,経済,2,true
leap_en_0044,英語,英単語 LEAP 英訳,1学期,範囲D,次の意味に最も近い英単語を選びなさい: ①～を創造する ②～を引き起こす,create,stress,strength,population,political,danger,trouble,explore,1,create が正解です。意味は「①～を創造する ②～を引き起こす」。 語源メモ: ラテン語 creo（作り出す；生む）。,IT,2,true
leap_en_0045,英語,英単語 LEAP 英訳,1学期,範囲E,次の意味に最も近い英単語を選びなさい: ①～を確立する，定着させる ②～を設立する,establish,suffer,tear,native,price,neighbor,issue,happen,1,establish が正解です。意味は「①～を確立する，定着させる ②～を設立する」。 語源メモ: e+ st「立つ」。,経済,2,true
leap_en_0046,英語,英単語 LEAP 英訳,1学期,範囲A,次の意味に最も近い英単語を選びなさい: ①（時間，手間）を省く ②～を貯金する ③（命など）を救う ④～を除いて（＝except）,save,exercise,taste,abroad,cost,audience,cheer,appear,1,save が正解です。意味は「①（時間，手間）を省く ②～を貯金する ③（命など）を救う ④～を除いて（＝except）」。,経済,2,true
leap_en_0047,英語,英単語 LEAP 英訳,1学期,範囲B,次の意味に最も近い英単語を選びなさい: ①（for ～）（～の）薬 ②医学,medicine,breathe,rule,local,sum,crowd,encourage,remain,1,medicine が正解です。意味は「①（for ～）（～の）薬 ②医学」。 語源メモ: medeor（治癒する）＋-icus（～している）→med-（助言する）。,経済,2,true
leap_en_0048,英語,英単語 LEAP 英訳,1学期,範囲C,次の意味に最も近い英単語を選びなさい: ①患者 ②忍耐強い,patient,thirsty,role,survey,budget,author,support,survive,1,patient が正解です。意味は「①患者 ②忍耐強い」。 語源メモ: ラテン語L.patior/pati「(精神的に)苦しむ」。,IT,2,true
leap_en_0049,英語,英単語 LEAP 英訳,1学期,範囲D,次の意味に最も近い英単語を選びなさい: ①状態，容態 ②（通例 －s）（周囲の）状況，条件,condition,physical,habit,evidence,fee,staff,prevent,belong,1,condition が正解です。意味は「①状態，容態 ②（通例 －s）（周囲の）状況，条件」。 語源メモ: -tion「こと、もの」、con-「ともに、強意」。,IT,2,true
leap_en_0050,英語,英単語 LEAP 英訳,1学期,範囲E,次の意味に最も近い英単語を選びなさい: ①医療の ②医学の,medical,fever,custom,value,fare,clerk,deny,represent,1,medical が正解です。意味は「①医療の ②医学の」。 語源メモ: med-「中間」。,経済,2,true
leap_en_0051,英語,英単語 LEAP 英訳,1学期,範囲A,次の意味に最も近い英単語を選びなさい: ①ストレス ②（on ～）（～に対する）強調 ③～を強調する,stress,strength,tradition,treasure,bill,customer,enable,base,1,stress が正解です。意味は「①ストレス ②（on ～）（～に対する）強調 ③～を強調する」。 語源メモ: stringo（圧迫する；ピンと張る）→streyg-（押し付ける）＝「圧力を加えること」。,IT,2,true
leap_en_0052,英語,英単語 LEAP 英訳,1学期,範囲B,次の意味に最も近い英単語を選びなさい: ①（from ～）（病気などで）苦しむ ②（苦痛，損害）を経験する,suffer,tear,society,fashion,trade,passenger,succeed,include,1,suffer が正解です。意味は「①（from ～）（病気などで）苦しむ ②（苦痛，損害）を経験する」。 語源メモ: sub-（下に）＋fero（運ぶ）。,環境,2,true
leap_en_0053,英語,英単語 LEAP 英訳,1学期,範囲C,次の意味に最も近い英単語を選びなさい: ①運動 ②（複数形）練習 ③運動する ④～を行使する,exercise,taste,law,public,wealth,elderly,miss,contain,1,exercise が正解です。意味は「①運動 ②（複数形）練習 ③運動する ④～を行使する」。,IT,2,true
leap_en_0054,英語,英単語 LEAP 英訳,1学期,範囲D,次の意味に最も近い英単語を選びなさい: 呼吸する，息をする,breathe,rule,ancestor,vote,economy,female,fail,own,1,breathe が正解です。意味は「呼吸する，息をする」。 語源メモ: breth（息）＋-en（する）。,経済,2,true
leap_en_0055,英語,英単語 LEAP 英訳,1学期,範囲E,次の意味に最も近い英単語を選びなさい: ①のどが渇いた ②（for ～）（～を）切望して,thirsty,role,population,government,company,head,mistake,share,1,thirsty が正解です。意味は「①のどが渇いた ②（for ～）（～を）切望して」。,経済,2,true
leap_en_0056,英語,英単語 LEAP 英訳,1学期,範囲A,次の意味に最も近い英単語を選びなさい: ①身体的な ②物理的な,physical,habit,native,nation,task,follow,check,collect,1,physical が正解です。意味は「①身体的な ②物理的な」。 語源メモ: phusis（自然）＋-ikos（～の）→phuo（生み出す）＋-sis（こと）。,環境,2,true
leap_en_0057,英語,英単語 LEAP 英訳,1学期,範囲B,次の意味に最も近い英単語を選びなさい: ①（体温の）熱 ②熱狂,fever,custom,abroad,capital,earn,wander,hide,gather,1,fever が正解です。意味は「①（体温の）熱 ②熱狂」。,経済,2,true
