id,subject,unit,term,range,question,choice1,choice2,choice3,choice4,choice5,choice6,choice7,choice8,answer,explanation,tags,difficulty,enabled
leap_ja_0001,英語,英単語 LEAP 和訳,1学期,範囲A,次の英単語の意味として最も適切なものを選びなさい: agree,①賛成する ②（主語の中で）意見が一致する ③（with ～）（気候，食べ物が）（～に）合う,①（that S V）～と主張する ②～を要求する，主張する ③主張，要求,①言い訳 ②～を許す ③（A from B）（B からA）を免除する,（科学）技術,①（to do）何とかして～する ②～を経営する，管理する,①～の味がする ②～の味をみる ③味 ④好み,①州 ②状態 ③国家 ④（意見，情報）を述べる,客,1,agree は「①賛成する ②（主語の中で）意見が一致する ③（with ～）（気候，食べ物が）（～に）合う」という意味で使われます。 語源メモ: gree「喜び、慈悲深さ」。,環境,2,true
leap_ja_0002,英語,英単語 LEAP 和訳,1学期,範囲B,次の英単語の意味として最も適切なものを選びなさい: oppose,～に反対する,①文句を言う，苦情を言う ②（of ～）（病気などを）訴える,①～を祝う ②（儀式など）を挙行する，執り行なう,①（学術）研究 ②～を研究する,①～を改善する，磨く ②よくなる,①規則 ②～を支配する,政治的な，政治の,乗客,1,oppose は「～に反対する」という意味で使われます。 語源メモ: op「反対の」pose「置く」。,経済,2,true
leap_ja_0003,英語,英単語 LEAP 和訳,1学期,範囲C,次の英単語の意味として最も適切なものを選びなさい: advise,～に忠告する,①～を申し出る ②申し出 ③値引き,～に感心する，称賛する,①材料，生地 ②資料，教材 ③物質的な ④重大な,①～を生産する，産出する ②（見せるために）～を取り出す ③農作物〈不可算〉,役割,①価格 ②（複数形）物価 ③代償,①年配の ②（the －）年配の人々,1,advise は「～に忠告する」という意味で使われます。 語源メモ: ad-（の方を）+videre（見る）。,環境,2,true
leap_ja_0004,英語,英単語 LEAP 和訳,1学期,範囲D,次の英単語の意味として最も適切なものを選びなさい: tip,①助言，ヒント ②チップ ③（足や山などの）先，先端（いずれも〈可算〉）,①～を示唆する ②～を提案する,～に感銘を与える，～を感心させる,人工的な,①～を創造する ②～を引き起こす,習慣，癖,①（費用）を要する，～がかかる ②～を犠牲にする ③費用，犠牲,①女性の ②（動物）雌の ③女性，雌,1,tip は「①助言，ヒント ②チップ ③（足や山などの）先，先端（いずれも〈可算〉）」という意味で使われます。 語源メモ: ？。,環境,2,true
leap_ja_0005,英語,英単語 LEAP 和訳,1学期,範囲E,次の英単語の意味として最も適切なものを選びなさい: discuss,①～について話し合う，議論する ②～を話題に出す,～を推薦する，勧める,①賞 ②～を授与する,電気の，電動の,①～を確立する，定着させる ②～を設立する,①習慣 ②（複数形）税関,①（修飾語を伴って）金額 ②合計 ③（簡単な）計算 ④（up）～を要約する,①向かう ②～を率いる,1,discuss は「①～について話し合う，議論する ②～を話題に出す」という意味で使われます。 語源メモ: dis-「否定、離れて、強意」、cuss「振る」。,IT,2,true
leap_ja_0006,英語,英単語 LEAP 和訳,1学期,範囲A,次の英単語の意味として最も適切なものを選びなさい: blame,～に責任があるとする,感謝している,～を説明する,①～を発明する ②（話など）をでっち上げる,①（時間，手間）を省く ②～を貯金する ③（命など）を救う ④～を除いて（＝except）,伝統,予算,①～の後について行く，～に続く ②（忠告，方針など）に従う,1,"blame は「～に責任があるとする」という意味で使われます。 語源メモ: blas-,mlas-（悪い）＋phemi（話す）=「悪く言うこと」。",環境,2,true
leap_ja_0007,英語,英単語 LEAP 和訳,1学期,範囲B,次の英単語の意味として最も適切なものを選びなさい: argue,①（that S V）～と主張する ②（with ～）（～と）言い争う,（to ～）（～に）謝る,～を説明する,①～を発見する ②（that S V）～を知る，～に気がつく ③（知るという意味で）～に出会う,①（for ～）（～の）薬 ②医学,①社会〈不可算〉 ②（ある具体的な）社会〈可算〉 ③（one's －）～と同席すること ④協会,①（会費，遊園地などの）料金 ②（専門職への）謝礼,歩き回る，さまよう,1,argue は「①（that S V）～と主張する ②（with ～）（～と）言い争う」という意味で使われます。 語源メモ: arguo（明白にする）→herg-（銀白の）＝「明白にすること」。,IT,2,true
leap_ja_0008,英語,英単語 LEAP 和訳,1学期,範囲C,次の英単語の意味として最も適切なものを選びなさい: claim,①（that S V）～と主張する ②～を要求する，主張する ③主張，要求,①言い訳 ②～を許す ③（A from B）（B からA）を免除する,①（with ～）（～と）意思の疎通をはかる ②～を伝える,①発達する ②～を発達させる ③～を開発する ④（話，考え）を発展させる ⑤（病気）にかかる,①患者 ②忍耐強い,①（the－）（集合的に）法律，国法 ②（個々の）法律 ③（科学などの）法則,運賃,①旅行する，移動する ②（光，音などが）進む,1,claim は「①（that S V）～と主張する ②～を要求する，主張する ③主張，要求」という意味で使われます。 語源メモ: 叫ぶ。,経済,2,true
leap_ja_0009,英語,英単語 LEAP 和訳,1学期,範囲D,次の英単語の意味として最も適切なものを選びなさい: complain,①文句を言う，苦情を言う ②（of ～）（病気などを）訴える,①～を祝う ②（儀式など）を挙行する，執り行なう,①（意見，気持ち）を表現する ②急行（列車，バス）,技術，力,①状態，容態 ②（通例 －s）（周囲の）状況，条件,祖先,①勘定 ②請求書 ③〈米〉紙幣 ④法案,①～を通り過ぎる ②～を抜く ③（試験）に受かる ④（（人）A）（人）に（A を）渡す ⑤（時が）過ぎる ⑥通行証,1,complain は「①文句を言う，苦情を言う ②（of ～）（病気などを）訴える」という意味で使われます。 語源メモ: com(強意）+ plangere(胸をたたく）。,経済,2,true
leap_ja_0010,英語,英単語 LEAP 和訳,1学期,範囲E,次の英単語の意味として最も適切なものを選びなさい: offer,①～を申し出る ②申し出 ③値引き,～に感心する，称賛する,①約束 ②～を約束する,能力,①医療の ②医学の,①人口，個体数 ②（一定の地域に住む）住民,①貿易 ②（the ～ trade）～業 ③商売 ④～を交換する,①（to do）～しそうだ，可能性が高い ②おそらく,1,offer は「①～を申し出る ②申し出 ③値引き」という意味で使われます。 語源メモ: of「その方向へ」fer「運ぶ」。,経済,2,true
leap_ja_0011,英語,英単語 LEAP 和訳,1学期,範囲A,次の英単語の意味として最も適切なものを選びなさい: suggest,①～を示唆する ②～を提案する,～に感銘を与える，～を感心させる,情報〈不可算〉,才能,①ストレス ②（on ～）（～に対する）強調 ③～を強調する,①母国の，その土地の ②（ある土地の）生まれの人,①富，財産〈不可算〉 ②（a － of ～）豊富な～,①当然の ②自然の ③生まれながらの,1,suggest は「①～を示唆する ②～を提案する」という意味で使われます。 語源メモ: sub(下から)とgerere(運ぶ)。,経済,2,true
leap_ja_0012,英語,英単語 LEAP 和訳,1学期,範囲B,次の英単語の意味として最も適切なものを選びなさい: recommend,～を推薦する，勧める,①賞 ②～を授与する,（科学）技術,努力,①（from ～）（病気などで）苦しむ ②（苦痛，損害）を経験する,海外へ，海外で,①経済 ②節約,①確かな ②（名詞の前で）ある～,1,recommend は「～を推薦する，勧める」という意味で使われます。 語源メモ: re-（強調）＋commendo（委ねる）→com-（一緒に）＋mando（委ねる）→manus（手）＋do（与える）。,環境,2,true
