id,subject,unit,largeCategory,middleCategory,question,choice1,choice2,choice3,choice4,choice5,choice6,choice7,choice8,answer,explanation,tags,difficulty,enabled
target1900_ja_0001,英語,英単語 Target1900 和訳,基礎,,create,を創り出す；を引き起こす,を提供する，申し出る,を制限［規制］する,を完成させる，仕上げる,問題（点）；発行（物）；発表,さまざまな；いくつかの,を適用［応用］する；申し込む；（～に）適用される（to / in）,機能；関数,1,create は「を創り出す；を引き起こす」という意味で使われます。,IT,2,true
target1900_ja_0002,英語,英単語 Target1900 和訳,基礎,,increase,増加する；を増やす,を要求する；を必要とする,に耐える；を負う；を産む；を（心に）抱く,考え，思いつき；理解；見解；概念,（～を対象とする）実験（on）,手に入る；利用できる；手が空いている,に言及する；と言う,利用，入手；接近（の機会・方法・権利）,1,increase は「増加する；を増やす」という意味で使われます。,経済,2,true
target1900_ja_0003,英語,英単語 Target1900 和訳,基礎,,improve,を向上させる；よくなる,を共有する；を分担する,に影響を及ぼす；を感動させる,一致；合意，協定,記事；条項；品物,出生地の；原産の；生得の,（～と）情報交換をする（with）；を伝達する,品目，項目；（同種の中の）～個；（短い）記事,1,improve は「を向上させる；よくなる」という意味で使われます。,経済,2,true
target1900_ja_0004,英語,英単語 Target1900 和訳,基礎,,mean,を意味する；（...する）つもりである（to do）,を保存する；を蓄える,〔deal withで〕を処理する；〔deal inで〕を商う；を分配する,会社；〔集合的に〕仲間；（仲間と）一緒にいること；一座,焦点；関心の的,政治（上）の,を含む；を収容する；（感情など）を抑える,収入；所得,1,mean は「を意味する；（...する）つもりである（to do）」という意味で使われます。,環境,2,true
target1900_ja_0005,英語,英単語 Target1900 和訳,基礎,,own,を所有している；（事実・罪など）を認める,傾向がある；を世話する,を避ける,興味；利子；利害,話題；科目；主題；被験者,予定された；（支払）期日で；しかるべき,と連絡を取る；接触する,態度；考え方，心構え,1,own は「を所有している；（事実・罪など）を認める」という意味で使われます。,IT,2,true
target1900_ja_0006,英語,英単語 Target1900 和訳,基礎,,include,を含む,〔受身形で〕心配している；〔受身形で〕（～に）関係する（with）；に関連する,を関連づける；（～に）関連する（to）,（～についての）研究，調査（into / on / in）,計画；事業；研究計画,空白の；無表情な；がらんとした,を見なす；を見る；を評価する,用地，場所；跡地；（ウェブ）サイト,1,include は「を含む」という意味で使われます。,経済,2,true
target1900_ja_0007,英語,英単語 Target1900 和訳,基礎,,consider,を見なす；について考える,について述べる，を説明する,に気づく；を実現する,原因；理由；大義,質；特質,古代の；昔からの,を尊敬する；を尊重する,（物事の）側面；観点；様相,1,consider は「を見なす；について考える」という意味で使われます。,環境,2,true
target1900_ja_0008,英語,英単語 Target1900 和訳,基礎,,allow,を許す；を与える；（～を）考慮に入れる（for）,を関与させる；を伴う,を奨励する；を励ます,理由；（...する）根拠（to do）；理性；分別,役割；（俳優などの）役,正しい；適切な,捜す；を捜索する；を詳しく調べる,構造；体系；構造物,1,allow は「を許す；を与える；（～を）考慮に入れる（for）」という意味で使われます。,環境,2,true
target1900_ja_0009,英語,英単語 Target1900 和訳,基礎,,suggest,を提案する；を暗示する,を減らす；を（～に）変える（to）,を比較する；を（～に）たとえる（to）,影響，効果；結果,（専門）用語；〔～s〕条件；〔～s〕間柄；学期,～にもかかわらず,をつなぐ；を関連づける,習慣，癖,1,suggest は「を提案する；を暗示する」という意味で使われます。,経済,2,true
target1900_ja_0010,英語,英単語 Target1900 和訳,基礎,,produce,を生産する；を取り出す,を設計する；を計画する,を測る；を（比較して）評価する,影響（力）,声明；主張；明細書,に気づく,減少する；衰退する；を断る,関連，つながり；（2地点を結ぶ）交通手段；リンク,1,produce は「を生産する；を取り出す」という意味で使われます。,経済,2,true
target1900_ja_0011,英語,英単語 Target1900 和訳,基礎,,decide,を決める；に決着をつける,に強いる；を強要する,存在する；生存する,状況；（人の置かれた）立場,材料，素材；資料；生地,言及する，関連する；参照する,を妨げる；を防ぐ,（具体的な）例，実例；（特定の）場合,1,decide は「を決める；に決着をつける」という意味で使われます。,環境,2,true
target1900_ja_0012,英語,英単語 Target1900 和訳,基礎,,offer,を提供する，申し出る,を制限［規制］する,に印をつける；を（記号で）示す；に汚れをつける,環境,証拠,に近づく；に取り組む,苦しむ；患う；（苦痛など）を経験する,肯定的な；積極的な；確信して；（検査結果が）陽性の,1,offer は「を提供する，申し出る」という意味で使われます。,経済,2,true
target1900_ja_0013,英語,英単語 Target1900 和訳,基礎,,require,を要求する；を必要とする,に耐える；を負う；を産む；を（心に）抱く,に異議を唱える；（人）に挑む,技能；熟練,（～の）源，根源（of）；出所，情報源,かなと思う；（に）驚く（at）,を切り抜けて生き残る；より長生きする；生き延びる,否定的な；消極的な；（検査結果が）陰性の,1,require は「を要求する；を必要とする」という意味で使われます。,環境,2,true
target1900_ja_0014,英語,英単語 Target1900 和訳,基礎,,share,を共有する；を分担する,に影響を及ぼす；を感動させる,頼る；～次第である,事柄；問題；〔～s〕事態；〔the ～〕困難；物質,（共同）社会，～界；地域社会；地域住民,（を）想像する；（を）推測する,を出版する；を公表する,複雑な；複合（体）の,1,share は「を共有する；を分担する」という意味で使われます。,環境,2,true
target1900_ja_0015,英語,英単語 Target1900 和訳,基礎,,store,を保存する；を蓄える,〔deal withで〕を処理する；〔deal inで〕を商う；を分配する,反対する；（...）と言って反対する（that節）,（～についての）見解（on / about）；（～に対する）（特定の）見方（of）；眺め,科学技術；応用技術,を識別できる；を認める,機会,現在の；現代の；通用している,1,store は「を保存する；を蓄える」という意味で使われます。,経済,2,true
target1900_ja_0016,英語,英単語 Target1900 和訳,基礎,,tend,傾向がある；を世話する,を避ける,を要求する,価値；価格；評価；〔～s〕価値観,文化；教養；耕作；養殖；培養,を解く，解明する；（困難など）を解決する,（課せられた）仕事，作業；課題；タスク,精神の；知能の；頭の中で行う,1,tend は「傾向がある；を世話する」という意味で使われます。,IT,2,true
target1900_ja_0017,英語,英単語 Target1900 和訳,基礎,,concern,〔受身形で〕心配している；〔受身形で〕（～に）関係する（with）；に関連する,を関連づける；（～に）関連する（to）,を設立する；（理論など）を（～に基づいて）築く（on）,（生物の）種；種類,（～に）適切な（for / to）,起こる；心に浮かぶ；現れる,産業；勤勉,特定の；明確な，具体的な；（～に）特有の（to）,1,concern は「〔受身形で〕心配している；〔受身形で〕（～に）関係する（with）；に関連する」という意味で使われます。,環境,2,true
target1900_ja_0018,英語,英単語 Target1900 和訳,基礎,,describe,について述べる，を説明する,に気づく；を実現する,を完成させる，仕上げる,考え；思考,ありそうな,と主張する；議論する,（情報伝達の）媒体；手段,重要な，重大な；意義深い,1,describe は「について述べる，を説明する」という意味で使われます。,経済,2,true
target1900_ja_0019,英語,英単語 Target1900 和訳,基礎,,involve,を関与させる；を伴う,を奨励する；を励ます,考え，思いつき；理解；見解；概念,知識；知っていること；認識,可能な；可能性のある,と主張する；を（自分のものとして）要求する,経済（状態）；経済圏；節約,（～に）必要不可欠な（to / for）；本質的な,1,involve は「を関与させる；を伴う」という意味で使われます。,環境,2,true
target1900_ja_0020,英語,英単語 Target1900 和訳,基礎,,reduce,を減らす；を（～に）変える（to）,を比較する；を（～に）たとえる（to）,一致；合意，協定,記憶（力）；（～の）思い出（of）,個々の；個人の,を表す，述べる,政策，方針；（個人の）主義,公用の；公式の；役所の,1,reduce は「を減らす；を（～に）変える（to）」という意味で使われます。,環境,2,true
target1900_ja_0021,英語,英単語 Target1900 和訳,基礎,,design,を設計する；を計画する,を測る；を（比較して）評価する,会社；〔集合的に〕仲間；（仲間と）一緒にいること；一座,実践，実行；（社会の）慣習；練習,公の；公衆の；公開の,を引き出す；を引く；を描く；近づく,説明；勘定；口座,財政（上）の；財界の,1,design は「を設計する；を計画する」という意味で使われます。,IT,2,true
target1900_ja_0022,英語,英単語 Target1900 和訳,基礎,,force,に強いる；を強要する,存在する；生存する,興味；利子；利害,利益，恩恵；給付金,共通の；普通の；一般の,を浪費する，無駄にする,貿易；商売，取引,学問の；大学の,1,force は「に強いる；を強要する」という意味で使われます。,経済,2,true
target1900_ja_0023,英語,英単語 Target1900 和訳,基礎,,limit,を制限［規制］する,に印をつける；を（記号で）示す；に汚れをつける,（～についての）研究，調査（into / on / in）,学説；理論；原理；推測,確信して；確かな；ある；一定の,を進歩させる；を進める；進歩する；進む,模範；モデル；模型；型,気づいて，知って,1,limit は「を制限［規制］する」という意味で使われます。,環境,2,true
target1900_ja_0024,英語,英単語 Target1900 和訳,基礎,,bear,に耐える；を負う；を産む；を（心に）抱く,に異議を唱える；（人）に挑む,原因；理由；大義,問題（点）；発行（物）；発表,似ている，類似した；同様の,を広める；広がる,数字；姿；人物；図表,（...する）に値する（doing）；の価値がある,1,bear は「に耐える；を負う；を産む；を（心に）抱く」という意味で使われます。,経済,2,true
target1900_ja_0025,英語,英単語 Target1900 和訳,基礎,,affect,に影響を及ぼす；を感動させる,頼る；～次第である,理由；（...する）根拠（to do）；理性；分別,（～を対象とする）実験（on）,最近の,を準備する；を調理する；（～のために）準備をする（for）,細胞；独房；電池,潜在的な；可能性を秘めた,1,affect は「に影響を及ぼす；を感動させる」という意味で使われます。,経済,2,true
target1900_ja_0026,英語,英単語 Target1900 和訳,基礎,,deal,〔deal withで〕を処理する；〔deal inで〕を商う；を分配する,反対する；（...）と言って反対する（that節）,影響，効果；結果,記事；条項；品物,主要な；大きい（ほうの）；長調の,を獲得する；（を）増す,印象，イメージ；画像；像,積極的な；活動的な；効力のある,1,deal は「〔deal withで〕を処理する；〔deal inで〕を商う；を分配する」という意味で使われます。,IT,2,true
target1900_ja_0027,英語,英単語 Target1900 和訳,基礎,,avoid,を避ける,を要求する,影響（力）,焦点；関心の的,忍耐強い；勤勉な,を達成する；を成し遂げる,感情，情動；感動,デジタル方式の；デジタル［数字］表示の,1,avoid は「を避ける」という意味で使われます。,環境,2,true
target1900_ja_0028,英語,英単語 Target1900 和訳,基礎,,relate,を関連づける；（～に）関連する（to）,を設立する；（理論など）を（～に基づいて）築く（on）,状況；（人の置かれた）立場,話題；科目；主題；被験者,特定の；特別の；（～について）やかましい（about）,を確立する；を設立する,ストレス；圧力；強調,可動［移動］式の；流動性のある,1,relate は「を関連づける；（～に）関連する（to）」という意味で使われます。,IT,2,true
target1900_ja_0029,英語,英単語 Target1900 和訳,基礎,,realize,に気づく；を実現する,を完成させる，仕上げる,環境,計画；事業；研究計画,身体の；物質的な；物理学の,を供給する,10年間,斬新な，目新しい,1,realize は「に気づく；を実現する」という意味で使われます。,IT,2,true
target1900_ja_0030,英語,英単語 Target1900 和訳,基礎,,encourage,を奨励する；を励ます,考え，思いつき；理解；見解；概念,技能；熟練,質；特質,さまざまな；いくつかの,と思う；と仮定する,範囲；射程距離；（同類の）組,柔軟な；プラスチックの，ビニールの,1,encourage は「を奨励する；を励ます」という意味で使われます。,経済,2,true
target1900_ja_0031,英語,英単語 Target1900 和訳,基礎,,compare,を比較する；を（～に）たとえる（to）,一致；合意，協定,事柄；問題；〔～s〕事態；〔the ～〕困難；物質,役割；（俳優などの）役,手に入る；利用できる；手が空いている,（を）行う；（を）演じる，（を）演奏する,性格，個性；特徴；登場人物；文字,化学の，化学的な,1,compare は「を比較する；を（～に）たとえる（to）」という意味で使われます。,経済,2,true
target1900_ja_0032,英語,英単語 Target1900 和訳,基礎,,measure,を測る；を（比較して）評価する,会社；〔集合的に〕仲間；（仲間と）一緒にいること；一座,（～についての）見解（on / about）；（～に対する）（特定の）見方（of）；眺め,（専門）用語；〔～s〕条件；〔～s〕間柄；学期,出生地の；原産の；生得の,のほうを好む,利点；優勢；有利,必要な,1,measure は「を測る；を（比較して）評価する」という意味で使われます。,IT,2,true
target1900_ja_0033,英語,英単語 Target1900 和訳,基礎,,exist,存在する；生存する,興味；利子；利害,価値；価格；評価；〔～s〕価値観,声明；主張；明細書,政治（上）の,を決定する；を正確に知る,句；成句；言葉遣い,結局（は）,1,exist は「存在する；生存する」という意味で使われます。,経済,2,true
target1900_ja_0034,英語,英単語 Target1900 和訳,基礎,,mark,に印をつける；を（記号で）示す；に汚れをつける,（～についての）研究，調査（into / on / in）,（生物の）種；種類,材料，素材；資料；生地,予定された；（支払）期日で；しかるべき,を扱う；を治療する,損害，損傷；〔～s〕損害賠償金,を特定する；を（～と）同一視する（with）,1,mark は「に印をつける；を（記号で）示す；に汚れをつける」という意味で使われます。,IT,2,true
target1900_ja_0035,英語,英単語 Target1900 和訳,基礎,,challenge,に異議を唱える；（人）に挑む,原因；理由；大義,考え；思考,証拠,空白の；無表情な；がらんとした,を証明する；判明する，わかる,影響；（激しい）衝突；衝撃（力）,を表す；を代表する；に相当する,1,challenge は「に異議を唱える；（人）に挑む」という意味で使われます。,IT,2,true
target1900_ja_0036,英語,英単語 Target1900 和訳,基礎,,depend,頼る；～次第である,理由；（...する）根拠（to do）；理性；分別,知識；知っていること；認識,（～の）源，根源（of）；出所，情報源,古代の；昔からの,を適用［応用］する；申し込む；（～に）適用される（to / in）,方法；体系；秩序,を指し示す；を述べる,1,depend は「頼る；～次第である」という意味で使われます。,環境,2,true
target1900_ja_0037,英語,英単語 Target1900 和訳,基礎,,object,反対する；（...）と言って反対する（that節）,影響，効果；結果,記憶（力）；（～の）思い出（of）,（共同）社会，～界；地域社会；地域住民,正しい；適切な,に言及する；と言う,〔通例～s〕資源；〔通例～s〕資金；才覚,をなんとか成し遂げる；を管理する,1,object は「反対する；（...）と言って反対する（that節）」という意味で使われます。,IT,2,true
target1900_ja_0038,英語,英単語 Target1900 和訳,基礎,,demand,を要求する,影響（力）,実践，実行；（社会の）慣習；練習,科学技術；応用技術,～にもかかわらず,（～と）情報交換をする（with）；を伝達する,地域；領域；部位,に出席する；（を）世話する；（～に）対処［対応］する（to）,1,demand は「を要求する」という意味で使われます。,経済,2,true
target1900_ja_0039,英語,英単語 Target1900 和訳,基礎,,found,を設立する；（理論など）を（～に基づいて）築く（on）,状況；（人の置かれた）立場,利益，恩恵；給付金,文化；教養；耕作；養殖；培養,に気づく,を含む；を収容する；（感情など）を抑える,薬；医学,を維持する；と主張する；を養う,1,found は「を設立する；（理論など）を（～に基づいて）築く（on）」という意味で使われます。,環境,2,true
target1900_ja_0040,英語,英単語 Target1900 和訳,基礎,,complete,を完成させる，仕上げる,環境,学説；理論；原理；推測,（～に）適切な（for / to）,言及する，関連する；参照する,と連絡を取る；接触する,〔～s〕詳細（な情報），細部,を調査する；をじろじろ見る；を概観する,1,complete は「を完成させる，仕上げる」という意味で使われます。,経済,2,true
target1900_ja_0041,英語,英単語 Target1900 和訳,基礎,,idea,考え，思いつき；理解；見解；概念,技能；熟練,問題（点）；発行（物）；発表,ありそうな,に近づく；に取り組む,を見なす；を見る；を評価する,特徴；〔通例～s〕顔つき；特集記事［番組］,に取って代わる；を取り替える,1,idea は「考え，思いつき；理解；見解；概念」という意味で使われます。,IT,2,true
target1900_ja_0042,英語,英単語 Target1900 和訳,基礎,,accord,一致；合意，協定,事柄；問題；〔～s〕事態；〔the ～〕困難；物質,（～を対象とする）実験（on）,可能な；可能性のある,かなと思う；（に）驚く（at）,を尊敬する；を尊重する,機能；関数,を（～に）分類する（into）；を（～から）えり分ける（from）,1,accord は「一致；合意，協定」という意味で使われます。,経済,2,true
target1900_ja_0043,英語,英単語 Target1900 和訳,基礎,,company,会社；〔集合的に〕仲間；（仲間と）一緒にいること；一座,（～についての）見解（on / about）；（～に対する）（特定の）見方（of）；眺め,記事；条項；品物,個々の；個人の,（を）想像する；（を）推測する,捜す；を捜索する；を詳しく調べる,利用，入手；接近（の機会・方法・権利）,（調査・実験など）を実施する；を導く,1,company は「会社；〔集合的に〕仲間；（仲間と）一緒にいること；一座」という意味で使われます。,経済,2,true
target1900_ja_0044,英語,英単語 Target1900 和訳,基礎,,interest,興味；利子；利害,価値；価格；評価；〔～s〕価値観,焦点；関心の的,公の；公衆の；公開の,を識別できる；を認める,をつなぐ；を関連づける,品目，項目；（同種の中の）～個；（短い）記事,を結び付けて考える；（～と）交際する（with）,1,interest は「興味；利子；利害」という意味で使われます。,経済,2,true
