id,subject,unit,largeCategory,middleCategory,question,choice1,choice2,choice3,choice4,choice5,choice6,choice7,choice8,answer,explanation,tags,difficulty,enabled
commonimportant_ja_0001,英語,英単語 共通テスト頻出 和訳,基礎,,次の英単語の意味として最も適切なものを選びなさい: wrap,～を包む,～を好む,〜に借りがある,〜に感謝する,要求,～を断る,生じる,〜をほのめかす,1,wrap は「～を包む」という意味で使われます。,IT,2,true
commonimportant_ja_0002,英語,英単語 共通テスト頻出 和訳,基礎,,次の英単語の意味として最も適切なものを選びなさい: create,～を創造する,～を保護する,適切な,～を尊敬する,～を測る,～を含む,〜を分ける,～に影響を及ぼす,1,create は「～を創造する」という意味で使われます。,IT,2,true
commonimportant_ja_0003,英語,英単語 共通テスト頻出 和訳,基礎,,次の英単語の意味として最も適切なものを選びなさい: determine,〜を決める,凍る,～を観察する,用地,化学物質,〜を向上させる,集中する,不可欠な,1,determine は「〜を決める」という意味で使われます。,環境,2,true
commonimportant_ja_0004,英語,英単語 共通テスト頻出 和訳,基礎,,次の英単語の意味として最も適切なものを選びなさい: estimate,〜を見積もる,返答する,試み,〜を予期する,〜を説明する,当てはまる,特徴,証拠,1,estimate は「〜を見積もる」という意味で使われます。,経済,2,true
commonimportant_ja_0005,英語,英単語 共通テスト頻出 和訳,基礎,,次の英単語の意味として最も適切なものを選びなさい: contribute,貢献する,否定的な,～を信頼する,ためらう,材料,〜を納得させる,〜を見捨てる,個人の,1,contribute は「貢献する」という意味で使われます。,IT,2,true
commonimportant_ja_0006,英語,英単語 共通テスト頻出 和訳,基礎,,次の英単語の意味として最も適切なものを選びなさい: discover,～を発見する,失敗する,〜を確立する,主要な,〜を提供する,書類,様々な,〜に抵抗する,1,discover は「～を発見する」という意味で使われます。,経済,2,true
commonimportant_ja_0007,英語,英単語 共通テスト頻出 和訳,基礎,,次の英単語の意味として最も適切なものを選びなさい: illustrate,示す,〜を展示する,称賛する,正確な,成功する,～を延長する,迷惑をかける,問題,1,illustrate は「示す」という意味で使われます。,経済,2,true
commonimportant_ja_0008,英語,英単語 共通テスト頻出 和訳,基礎,,次の英単語の意味として最も適切なものを選びなさい: population,人口,～を破壊する,～を推薦する,苦しむ,～を反射する,扱う,特定の,きわめて重要な,1,population は「人口」という意味で使われます。,IT,2,true
commonimportant_ja_0009,英語,英単語 共通テスト頻出 和訳,基礎,,次の英単語の意味として最も適切なものを選びなさい: stretch,～を伸ばす,引退する,独特の,確信している,例,維持する,〜を避ける,さえぎる,1,stretch は「～を伸ばす」という意味で使われます。,環境,2,true
commonimportant_ja_0010,英語,英単語 共通テスト頻出 和訳,基礎,,次の英単語の意味として最も適切なものを選びなさい: exhibit,〜を展示する,重要な,たくましい,～を示す,〜を示唆する,〜を防ぐ,主張する,元,1,exhibit は「〜を展示する」という意味で使われます。,経済,2,true
commonimportant_ja_0011,英語,英単語 共通テスト頻出 和訳,基礎,,次の英単語の意味として最も適切なものを選びなさい: treat,〜を扱う,複雑な,〜を探検する,～を解放する,～を認識する,拡大する,参加する,ある特定の,1,treat は「〜を扱う」という意味で使われます。,IT,2,true
commonimportant_ja_0012,英語,英単語 共通テスト頻出 和訳,基礎,,次の英単語の意味として最も適切なものを選びなさい: prefer,～を好む,〜に借りがある,〜を暴露する,〜を示す,〜を必要とする,利用可能な,積極的な,さもなければ,1,prefer は「～を好む」という意味で使われます。,経済,2,true
commonimportant_ja_0013,英語,英単語 共通テスト頻出 和訳,基礎,,次の英単語の意味として最も適切なものを選びなさい: preserve,～を保護する,適切な,度,～を得る,～と主張する,年上の,～を無視する,十分な,1,preserve は「～を保護する」という意味で使われます。,環境,2,true
commonimportant_ja_0014,英語,英単語 共通テスト頻出 和訳,基礎,,次の英単語の意味として最も適切なものを選びなさい: freeze,凍る,～を観察する,～を比較する,～に食べ物を与える,苦労する,吸収する,大気,側面,1,freeze は「凍る」という意味で使われます。,経済,2,true
commonimportant_ja_0015,英語,英単語 共通テスト頻出 和訳,基礎,,次の英単語の意味として最も適切なものを選びなさい: respond,返答する,試み,～を調査する,～を許可する,～を求める,存在する,生の,莫大な,1,respond は「返答する」という意味で使われます。,IT,2,true
commonimportant_ja_0016,英語,英単語 共通テスト頻出 和訳,基礎,,次の英単語の意味として最も適切なものを選びなさい: negative,否定的な,～を信頼する,～を採用する,仕事,出会い,身体的な,～を組み合わせる,最終的に,1,negative は「否定的な」という意味で使われます。,経済,2,true
commonimportant_ja_0017,英語,英単語 共通テスト頻出 和訳,基礎,,次の英単語の意味として最も適切なものを選びなさい: fail,失敗する,〜を確立する,〜を予測する,態度,基本的な,～を取り去る,〜を捕らえる,とても小さな,1,fail は「失敗する」という意味で使われます。,IT,2,true
commonimportant_ja_0018,英語,英単語 共通テスト頻出 和訳,基礎,,次の英単語の意味として最も適切なものを選びなさい: display,〜を展示する,称賛する,〜に感謝する,理想的な,〜を取り囲む,利点,〜を引き出す,厳しい,1,display は「〜を展示する」という意味で使われます。,IT,2,true
commonimportant_ja_0019,英語,英単語 共通テスト頻出 和訳,基礎,,次の英単語の意味として最も適切なものを選びなさい: destroy,～を破壊する,～を推薦する,～を尊敬する,～を解決する,影響,前の,～を確認する,～を非難する,1,destroy は「～を破壊する」という意味で使われます。,IT,2,true
commonimportant_ja_0020,英語,英単語 共通テスト頻出 和訳,基礎,,次の英単語の意味として最も適切なものを選びなさい: retire,引退する,独特の,用地,楽しい,古代の,一節,種,見方,1,retire は「引退する」という意味で使われます。,環境,2,true
commonimportant_ja_0021,英語,英単語 共通テスト頻出 和訳,基礎,,次の英単語の意味として最も適切なものを選びなさい: significant,重要な,たくましい,〜を予期する,〜を認める,〜するつもりだ,～を達成する,視力,〜を区別する,1,significant は「重要な」という意味で使われます。,環境,2,true
commonimportant_ja_0022,英語,英単語 共通テスト頻出 和訳,基礎,,次の英単語の意味として最も適切なものを選びなさい: complex,複雑な,〜を探検する,ためらう,～について言及する,〜を操作する,減少,急速な,要因,1,complex は「複雑な」という意味で使われます。,IT,2,true
commonimportant_ja_0023,英語,英単語 共通テスト頻出 和訳,基礎,,次の英単語の意味として最も適切なものを選びなさい: owe,〜に借りがある,〜を暴露する,主要な,能率的な,政府,～を雇う,異なる,～と結論を下す,1,owe は「〜に借りがある」という意味で使われます。,IT,2,true
commonimportant_ja_0024,英語,英単語 共通テスト頻出 和訳,基礎,,次の英単語の意味として最も適切なものを選びなさい: appropriate,適切な,度,正確な,要求,〜に取って代わる,〜が誰だかわかる,代替案,～を計算する,1,appropriate は「適切な」という意味で使われます。,環境,2,true
commonimportant_ja_0025,英語,英単語 共通テスト頻出 和訳,基礎,,次の英単語の意味として最も適切なものを選びなさい: observe,～を観察する,～を比較する,苦しむ,～を測る,役割,敏感な,著者,現代の,1,observe は「～を観察する」という意味で使われます。,経済,2,true
commonimportant_ja_0026,英語,英単語 共通テスト頻出 和訳,基礎,,次の英単語の意味として最も適切なものを選びなさい: attempt,試み,～を調査する,確信している,化学物質,〜に気づく,不足,職業,～を変える,1,attempt は「試み」という意味で使われます。,経済,2,true
commonimportant_ja_0027,英語,英単語 共通テスト頻出 和訳,基礎,,次の英単語の意味として最も適切なものを選びなさい: trust,～を信頼する,～を採用する,～を示す,〜を説明する,〜を引きつける,価値,気づいている,年に１度の,1,trust は「～を信頼する」という意味で使われます。,経済,2,true
commonimportant_ja_0028,英語,英単語 共通テスト頻出 和訳,基礎,,次の英単語の意味として最も適切なものを選びなさい: establish,〜を確立する,〜を予測する,～を解放する,材料,記事,〜を代表する,～と一緒に行く,行動,1,establish は「〜を確立する」という意味で使われます。,経済,2,true
commonimportant_ja_0029,英語,英単語 共通テスト頻出 和訳,基礎,,次の英単語の意味として最も適切なものを選びなさい: admire,称賛する,〜に感謝する,〜を示す,〜を提供する,回復する,〜を注ぐ,〜に専念する,結果,1,admire は「称賛する」という意味で使われます。,経済,2,true
commonimportant_ja_0030,英語,英単語 共通テスト頻出 和訳,基礎,,次の英単語の意味として最も適切なものを選びなさい: recommend,～を推薦する,～を尊敬する,～を得る,成功する,～を断る,概念,施設,目に見える,1,recommend は「～を推薦する」という意味で使われます。,環境,2,true
commonimportant_ja_0031,英語,英単語 共通テスト頻出 和訳,基礎,,次の英単語の意味として最も適切なものを選びなさい: unique,独特の,用地,～に食べ物を与える,～を反射する,～を含む,病気,装置,気前のよい,1,unique は「独特の」という意味で使われます。,環境,2,true
commonimportant_ja_0032,英語,英単語 共通テスト頻出 和訳,基礎,,次の英単語の意味として最も適切なものを選びなさい: tough,たくましい,〜を予期する,～を許可する,例,〜を向上させる,～に影響を与える,利益,特定する,1,tough は「たくましい」という意味で使われます。,経済,2,true
commonimportant_ja_0033,英語,英単語 共通テスト頻出 和訳,基礎,,次の英単語の意味として最も適切なものを選びなさい: explore,〜を探検する,ためらう,仕事,〜を示唆する,当てはまる,含む,表面,多数の,1,explore は「〜を探検する」という意味で使われます。,経済,2,true
commonimportant_ja_0034,英語,英単語 共通テスト頻出 和訳,基礎,,次の英単語の意味として最も適切なものを選びなさい: expose,〜を暴露する,主要な,態度,～を認識する,〜を納得させる,含む,強いる,～を包む,1,expose は「〜を暴露する」という意味で使われます。,環境,2,true
