id,subject,unit,largeCategory,middleCategory,question,choice1,choice2,choice3,choice4,choice5,choice6,choice7,choice8,answer,explanation,tags,difficulty,enabled
target1900_0001,英語,英単語 Target1900,基礎,,次の意味に最も近い英単語を選びなさい: を創り出す；を引き起こす,create,allow,store,deal,idea,practice,public,claim,1,create が正解です。意味の中心を確認し、例文の中で使えるようにしましょう。,IT,2,true
target1900_0002,英語,英単語 Target1900,基礎,,次の意味に最も近い英単語を選びなさい: 増加する（⇔ decrease ⇒ 223）；を増やす,increase,suggest,tend,avoid,accord,benefit,common,express,1,increase が正解です。意味の中心を確認し、例文の中で使えるようにしましょう。,経済,2,true
target1900_0003,英語,英単語 Target1900,基礎,,次の意味に最も近い英単語を選びなさい: を向上させる；よくなる,improve,produce,concern,relate,company,theory,certain,draw,1,improve が正解です。意味の中心を確認し、例文の中で使えるようにしましょう。,経済,2,true
target1900_0004,英語,英単語 Target1900,基礎,,次の意味に最も近い英単語を選びなさい: を意味する；（...する）つもりである（to do）,mean,decide,describe,realize,interest,issue,similar,waste,1,mean が正解です。意味の中心を確認し、例文の中で使えるようにしましょう。,環境,2,true
target1900_0005,英語,英単語 Target1900,基礎,,次の意味に最も近い英単語を選びなさい: を所有している；（事実・罪など）を認める,own,offer,involve,encourage,research,experiment,recent,advance,1,own が正解です。意味の中心を確認し、例文の中で使えるようにしましょう。,IT,2,true
target1900_0006,英語,英単語 Target1900,基礎,,次の意味に最も近い英単語を選びなさい: を含む（⇔ exclude ⇒ 1009）,include,require,reduce,compare,cause,article,major,spread,1,include が正解です。意味の中心を確認し、例文の中で使えるようにしましょう。,経済,2,true
target1900_0007,英語,英単語 Target1900,基礎,,次の意味に最も近い英単語を選びなさい: を見なす；について考える,consider,share,design,measure,reason,focus,patient,prepare,1,consider が正解です。意味の中心を確認し、例文の中で使えるようにしましょう。,環境,2,true
target1900_0008,英語,英単語 Target1900,基礎,,次の意味に最も近い英単語を選びなさい: を許す；を与える；（～を）考慮に入れる（for）,allow,store,force,exist,effect,subject,particular,gain,1,allow が正解です。意味の中心を確認し、例文の中で使えるようにしましょう。,環境,2,true
target1900_0009,英語,英単語 Target1900,基礎,,次の意味に最も近い英単語を選びなさい: を提案する；を暗示する,suggest,tend,limit,mark,influence,project,physical,achieve,1,suggest が正解です。意味の中心を確認し、例文の中で使えるようにしましょう。,経済,2,true
target1900_0010,英語,英単語 Target1900,基礎,,次の意味に最も近い英単語を選びなさい: を生産する；を取り出す,produce,concern,bear,challenge,situation,quality,various,establish,1,produce が正解です。意味の中心を確認し、例文の中で使えるようにしましょう。,経済,2,true
target1900_0011,英語,英単語 Target1900,基礎,,次の意味に最も近い英単語を選びなさい: を決める；に決着をつける,decide,describe,affect,depend,environment,role,available,supply,1,decide が正解です。意味の中心を確認し、例文の中で使えるようにしましょう。,環境,2,true
target1900_0012,英語,英単語 Target1900,基礎,,次の意味に最も近い英単語を選びなさい: を提供する，申し出る,offer,involve,deal,object,skill,term,native,suppose,1,offer が正解です。意味の中心を確認し、例文の中で使えるようにしましょう。,経済,2,true
target1900_0013,英語,英単語 Target1900,基礎,,次の意味に最も近い英単語を選びなさい: を要求する；を必要とする,require,reduce,avoid,demand,matter,statement,political,perform,1,require が正解です。意味の中心を確認し、例文の中で使えるようにしましょう。,環境,2,true
target1900_0014,英語,英単語 Target1900,基礎,,次の意味に最も近い英単語を選びなさい: を共有する；を分担する,share,design,relate,found,view,material,due,prefer,1,share が正解です。意味の中心を確認し、例文の中で使えるようにしましょう。,環境,2,true
target1900_0015,英語,英単語 Target1900,基礎,,次の意味に最も近い英単語を選びなさい: を保存する；を蓄える,store,force,realize,complete,value,evidence,blank,determine,1,store が正解です。意味の中心を確認し、例文の中で使えるようにしましょう。,経済,2,true
target1900_0016,英語,英単語 Target1900,基礎,,次の意味に最も近い英単語を選びなさい: 傾向がある；を世話する,tend,limit,encourage,idea,species,source,ancient,treat,1,tend が正解です。意味の中心を確認し、例文の中で使えるようにしましょう。,IT,2,true
target1900_0017,英語,英単語 Target1900,基礎,,次の意味に最も近い英単語を選びなさい: 〔受身形で〕心配している；〔受身形で〕（～に）関係する（with）；に関連する,concern,bear,compare,accord,thought,community,correct,prove,1,concern が正解です。意味の中心を確認し、例文の中で使えるようにしましょう。,環境,2,true
target1900_0018,英語,英単語 Target1900,基礎,,次の意味に最も近い英単語を選びなさい: について述べる，を説明する,describe,affect,measure,company,knowledge,technology,despite,apply,1,describe が正解です。意味の中心を確認し、例文の中で使えるようにしましょう。,経済,2,true
target1900_0019,英語,英単語 Target1900,基礎,,次の意味に最も近い英単語を選びなさい: を関与させる；を伴う,involve,deal,exist,interest,memory,culture,notice,mention,1,involve が正解です。意味の中心を確認し、例文の中で使えるようにしましょう。,環境,2,true
target1900_0020,英語,英単語 Target1900,基礎,,次の意味に最も近い英単語を選びなさい: を減らす；を（～に）変える（to）,reduce,avoid,mark,research,practice,appropriate,refer,communicate,1,reduce が正解です。意味の中心を確認し、例文の中で使えるようにしましょう。,環境,2,true
target1900_0021,英語,英単語 Target1900,基礎,,次の意味に最も近い英単語を選びなさい: を設計する；を計画する,design,relate,challenge,cause,benefit,likely,approach,contain,1,design が正解です。意味の中心を確認し、例文の中で使えるようにしましょう。,IT,2,true
target1900_0022,英語,英単語 Target1900,基礎,,次の意味に最も近い英単語を選びなさい: に強いる；を強要する,force,realize,depend,reason,theory,possible,wonder,contact,1,force が正解です。意味の中心を確認し、例文の中で使えるようにしましょう。,経済,2,true
target1900_0023,英語,英単語 Target1900,基礎,,次の意味に最も近い英単語を選びなさい: を制限［規制］する,limit,encourage,object,effect,issue,individual,imagine,regard,1,limit が正解です。意味の中心を確認し、例文の中で使えるようにしましょう。,環境,2,true
target1900_0024,英語,英単語 Target1900,基礎,,次の意味に最も近い英単語を選びなさい: に耐える（≒ endure ⇒ 824）；を負う；を産む；を（心に）抱く,bear,compare,demand,influence,experiment,public,recognize,respect,1,bear が正解です。意味の中心を確認し、例文の中で使えるようにしましょう。,経済,2,true
target1900_0025,英語,英単語 Target1900,基礎,,次の意味に最も近い英単語を選びなさい: に影響を及ぼす（≒ influence ⇒ 49）；を感動させる,affect,measure,found,situation,article,common,solve,search,1,affect が正解です。意味の中心を確認し、例文の中で使えるようにしましょう。,経済,2,true
target1900_0026,英語,英単語 Target1900,基礎,,次の意味に最も近い英単語を選びなさい: 〔deal withで〕を処理する；〔deal inで〕を商う；を分配する,deal,exist,complete,environment,focus,certain,occur,connect,1,deal が正解です。意味の中心を確認し、例文の中で使えるようにしましょう。,IT,2,true
