id,subject,unit,term,range,question,choice1,choice2,choice3,choice4,choice5,choice6,choice7,choice8,answer,explanation,tags,difficulty,enabled
eng_vocab_src_001,英語,英単語,1学期,範囲A,"The city plans to _____ more green spaces to reduce summer heat.","create","ignore","purchase","translate","freeze","borrow","describe","refuse",1,"create は「作り出す」。緑地を新しく作る文脈に合います。","環境",3,true
eng_vocab_src_002,英語,英単語,1学期,範囲A,"Using less electricity can help _____ carbon emissions.","reduce","increase","display","pretend","collect","invite","divide","predict",1,"reduce は「減らす」。排出量を減らすという文脈です。","環境",3,true
eng_vocab_src_003,英語,英単語,1学期,範囲A,"The report says plastic waste has a serious _____ on marine life.","impact","schedule","account","route","habit","method","fee","memory",1,"impact は「影響」。環境問題の説明で頻出です。","環境",4,true
eng_vocab_src_004,英語,英単語,1学期,範囲A,"Many countries are trying to protect endangered _____.","species","devices","contracts","images","phrases","budgets","customers","options",1,"species は「種」。endangered species で「絶滅危惧種」。","環境",4,true
eng_vocab_src_005,英語,英単語,1学期,範囲A,"The factory was blamed for causing air _____.","pollution","tradition","audience","candidate","advantage","emotion","surface","permission",1,"pollution は「汚染」。air pollution は「大気汚染」。","環境",3,true
eng_vocab_src_006,英語,英単語,1学期,範囲A,"Water is an essential natural _____ for all living things.","resource","character","debt","weapon","routine","medium","colleague","statement",1,"resource は「資源」。natural resource は「天然資源」。","環境",4,true
eng_vocab_src_007,英語,英単語,1学期,範囲B,"A new app can _____ students to review vocabulary every day.","enable","oppose","remove","blame","estimate","freeze","suffer","reject",1,"enable A to do は「Aが...できるようにする」。","IT",4,true
eng_vocab_src_008,英語,英単語,1学期,範囲B,"The school introduced digital _____ to support online lessons.","technology","species","crime","grain","mood","welfare","minister","ancestor",1,"technology は「科学技術」。digital technology の形で使われます。","IT",3,true
eng_vocab_src_009,英語,英単語,1学期,範囲B,"Students can _____ the database from home.","access","decline","observe","repair","celebrate","alter","persuade","breed",1,"access は「利用する、接続する」。database との相性がよい語です。","IT",4,true
eng_vocab_src_010,英語,英単語,1学期,範囲B,"The website collects only necessary user _____.","data","crop","route","bill","myth","barrier","prime","weapon",1,"data は「データ、情報」。ITや調査の文脈で頻出です。","IT",3,true
eng_vocab_src_011,英語,英単語,1学期,範囲B,"The company will _____ the software next month.","release","consume","argue","depend","survive","prefer","stretch","suspect",1,"release は「公開する、発売する」。software release の文脈です。","IT,経済",4,true
eng_vocab_src_012,英語,英単語,1学期,範囲B,"The system can quickly _____ large amounts of information.","process","rent","blame","oppose","waste","admire","ban","vary",1,"process は「処理する」。情報処理の文脈で使います。","IT",4,true
eng_vocab_src_013,英語,英単語,1学期,範囲C,"The government announced a new economic _____.","policy","species","device","route","emotion","client","grain","myth",1,"policy は「政策、方針」。economic policy は「経済政策」。","経済",4,true
eng_vocab_src_014,英語,英単語,1学期,範囲C,"The local _____ depends heavily on tourism.","economy","method","audience","surface","concept","routine","weapon","phrase",1,"economy は「経済」。local economy は「地域経済」。","経済",3,true
eng_vocab_src_015,英語,英単語,1学期,範囲C,"The company must reduce its _____ to remain competitive.","costs","species","memories","images","habits","articles","routes","genes",1,"costs は「費用」。企業活動や経済記事でよく使われます。","経済",3,true
eng_vocab_src_016,英語,英単語,1学期,範囲C,"Many small businesses suffered during the economic _____.","depression","innovation","transport","hypothesis","emotion","feature","surface","ingredient",1,"depression は「不況」。economic depression で経済の落ち込みを表します。","経済",5,true
eng_vocab_src_017,英語,英単語,1学期,範囲C,"The city hopes to attract foreign _____.","investment","pollution","routine","ancestor","contrast","discipline","candidate","barrier",1,"investment は「投資」。foreign investment は「海外からの投資」。","経済",5,true
eng_vocab_src_018,英語,英単語,1学期,範囲C,"The graph shows a steady _____ in online sales.","increase","origin","weapon","myth","permission","surface","mood","colony",1,"increase は「増加」。sales が伸びていることを表します。","IT,経済",3,true
eng_vocab_src_019,英語,英単語,2学期,範囲A,"The article _____ the causes of climate change in simple language.","describes","freezes","rents","suspects","abandons","charges","hangs","permits",1,"describe は「説明する、述べる」。article が主語の自然な使い方です。","環境",3,true
eng_vocab_src_020,英語,英単語,2学期,範囲A,"The new rule will _____ the amount of waste each household produces.","limit","celebrate","attach","admire","refuse","publish","borrow","arrange",1,"limit は「制限する」。廃棄物の量を制限する文脈です。","環境",4,true
eng_vocab_src_021,英語,英単語,2学期,範囲A,"Scientists are trying to _____ how microplastics affect fish.","determine","decorate","rent","blame","prefer","ignore","translate","recover",1,"determine は「特定する、決定する」。研究文脈で使われます。","環境",5,true
eng_vocab_src_022,英語,英単語,2学期,範囲A,"The river water quality has begun to _____ after years of cleanup work.","improve","oppose","divide","suspect","charge","ban","quit","freeze",1,"improve は「改善する」。水質が良くなる文脈です。","環境",3,true
eng_vocab_src_023,英語,英単語,2学期,範囲B,"This device can _____ spoken words into text.","translate","pollute","suffer","emerge","rent","breed","owe","attend",1,"translate は「翻訳する」。音声を文字に変える技術にも使えます。","IT",4,true
