id,subject,unit,largeCategory,middleCategory,question,choice1,choice2,choice3,choice4,choice5,choice6,choice7,choice8,answer,explanation,tags,difficulty,enabled
commonimportant_0001,英語,英単語 共通テスト頻出,基礎,,～を包む,wrap,population,respond,attempt,respect,admit,intend,previous,1,wrap が正解です。意味の中心を確認しましょう。,IT,2,true
commonimportant_0002,英語,英単語 共通テスト頻出,基礎,,～を創造する,create,stretch,negative,trust,site,mention,operate,passage,1,create が正解です。意味の中心を確認しましょう。,IT,2,true
commonimportant_0003,英語,英単語 共通テスト頻出,基礎,,〜を決める,determine,exhibit,fail,establish,expect,efficient,government,achieve,1,determine が正解です。意味の中心を確認しましょう。,環境,2,true
commonimportant_0004,英語,英単語 共通テスト頻出,基礎,,〜を見積もる,estimate,treat,display,admire,hesitate,demand,replace,decline,1,estimate が正解です。意味の中心を確認しましょう。,経済,2,true
commonimportant_0005,英語,英単語 共通テスト頻出,基礎,,貢献する,contribute,prefer,destroy,recommend,major,measure,role,employ,1,contribute が正解です。意味の中心を確認しましょう。,IT,2,true
commonimportant_0006,英語,英単語 共通テスト頻出,基礎,,～を発見する,discover,preserve,retire,unique,accurate,chemical,realize,recognize,1,discover が正解です。意味の中心を確認しましょう。,経済,2,true
commonimportant_0007,英語,英単語 共通テスト頻出,基礎,,示す,illustrate,freeze,significant,tough,suffer,describe,attract,sensitive,1,illustrate が正解です。意味の中心を確認しましょう。,経済,2,true
commonimportant_0008,英語,英単語 共通テスト頻出,基礎,,人口,population,respond,complex,explore,certain,material,article,lack,1,population が正解です。意味の中心を確認しましょう。,IT,2,true
commonimportant_0009,英語,英単語 共通テスト頻出,基礎,,～を伸ばす,stretch,negative,owe,expose,indicate,provide,recover,value,1,stretch が正解です。意味の中心を確認しましょう。,環境,2,true
commonimportant_0010,英語,英単語 共通テスト頻出,基礎,,〜を展示する,exhibit,fail,appropriate,degree,release,succeed,refuse,represent,1,exhibit が正解です。意味の中心を確認しましょう。,経済,2,true
commonimportant_0011,英語,英単語 共通テスト頻出,基礎,,〜を扱う,treat,display,observe,compare,demonstrate,reflect,include,pour,1,treat が正解です。意味の中心を確認しましょう。,IT,2,true
commonimportant_0012,英語,英単語 共通テスト頻出,基礎,,～を好む,prefer,destroy,attempt,examine,obtain,instance,improve,concept,1,prefer が正解です。意味の中心を確認しましょう。,経済,2,true
commonimportant_0013,英語,英単語 共通テスト頻出,基礎,,～を保護する,preserve,retire,trust,adopt,feed,suggest,apply,disease,1,preserve が正解です。意味の中心を確認しましょう。,環境,2,true
commonimportant_0014,英語,英単語 共通テスト頻出,基礎,,凍る,freeze,significant,establish,predict,allow,perceive,convince,affect,1,freeze が正解です。意味の中心を確認しましょう。,経済,2,true
commonimportant_0015,英語,英単語 共通テスト頻出,基礎,,返答する,respond,complex,admire,appreciate,task,require,document,contain,1,respond が正解です。意味の中心を確認しましょう。,IT,2,true
commonimportant_0016,英語,英単語 共通テスト頻出,基礎,,否定的な,negative,owe,recommend,respect,attitude,argue,extend,involve,1,negative が正解です。意味の中心を確認しましょう。,経済,2,true
commonimportant_0017,英語,英単語 共通テスト頻出,基礎,,失敗する,fail,appropriate,unique,site,ideal,struggle,deal,encourage,1,fail が正解です。意味の中心を確認しましょう。,IT,2,true
commonimportant_0018,英語,英単語 共通テスト頻出,基礎,,〜を展示する,display,observe,tough,expect,solve,seek,maintain,occur,1,display が正解です。意味の中心を確認しましょう。,IT,2,true
commonimportant_0019,英語,英単語 共通テスト頻出,基礎,,～を破壊する,destroy,attempt,explore,hesitate,pleasant,encounter,prevent,divide,1,destroy が正解です。意味の中心を確認しましょう。,IT,2,true
commonimportant_0020,英語,英単語 共通テスト頻出,基礎,,引退する,retire,trust,expose,major,admit,fundamental,expand,concentrate,1,retire が正解です。意味の中心を確認しましょう。,環境,2,true
commonimportant_0021,英語,英単語 共通テスト頻出,基礎,,重要な,significant,establish,degree,accurate,mention,surround,available,feature,1,significant が正解です。意味の中心を確認しましょう。,環境,2,true
commonimportant_0022,英語,英単語 共通テスト頻出,基礎,,複雑な,complex,admire,compare,suffer,efficient,effect,senior,abandon,1,complex が正解です。意味の中心を確認しましょう。,IT,2,true
commonimportant_0023,英語,英単語 共通テスト頻出,基礎,,〜に借りがある,owe,recommend,examine,certain,demand,ancient,absorb,various,1,owe が正解です。意味の中心を確認しましょう。,IT,2,true
commonimportant_0024,英語,英単語 共通テスト頻出,基礎,,適切な,appropriate,unique,adopt,indicate,measure,intend,exist,bother,1,appropriate が正解です。意味の中心を確認しましょう。,環境,2,true
commonimportant_0025,英語,英単語 共通テスト頻出,基礎,,～を観察する,observe,tough,predict,release,chemical,operate,physical,specific,1,observe が正解です。意味の中心を確認しましょう。,経済,2,true
commonimportant_0026,英語,英単語 共通テスト頻出,基礎,,試み,attempt,explore,appreciate,demonstrate,describe,government,remove,avoid,1,attempt が正解です。意味の中心を確認しましょう。,経済,2,true
commonimportant_0027,英語,英単語 共通テスト頻出,基礎,,～を信頼する,trust,expose,respect,obtain,material,replace,benefit,insist,1,trust が正解です。意味の中心を確認しましょう。,経済,2,true
commonimportant_0028,英語,英単語 共通テスト頻出,基礎,,〜を確立する,establish,degree,site,feed,provide,role,previous,participate,1,establish が正解です。意味の中心を確認しましょう。,経済,2,true
commonimportant_0029,英語,英単語 共通テスト頻出,基礎,,称賛する,admire,compare,expect,allow,succeed,realize,passage,active,1,admire が正解です。意味の中心を確認しましょう。,経済,2,true
commonimportant_0030,英語,英単語 共通テスト頻出,基礎,,～を推薦する,recommend,examine,hesitate,task,reflect,attract,achieve,ignore,1,recommend が正解です。意味の中心を確認しましょう。,環境,2,true
commonimportant_0031,英語,英単語 共通テスト頻出,基礎,,独特の,unique,adopt,major,attitude,instance,article,decline,atmosphere,1,unique が正解です。意味の中心を確認しましょう。,環境,2,true
commonimportant_0032,英語,英単語 共通テスト頻出,基礎,,たくましい,tough,predict,accurate,ideal,suggest,recover,employ,raw,1,tough が正解です。意味の中心を確認しましょう。,経済,2,true
commonimportant_0033,英語,英単語 共通テスト頻出,基礎,,〜を探検する,explore,appreciate,suffer,solve,perceive,refuse,recognize,combine,1,explore が正解です。意味の中心を確認しましょう。,経済,2,true
commonimportant_0034,英語,英単語 共通テスト頻出,基礎,,〜を暴露する,expose,respect,certain,pleasant,require,include,sensitive,capture,1,expose が正解です。意味の中心を確認しましょう。,環境,2,true
commonimportant_0035,英語,英単語 共通テスト頻出,基礎,,度,degree,site,indicate,admit,argue,improve,lack,withdraw,1,degree が正解です。意味の中心を確認しましょう。,経済,2,true
commonimportant_0036,英語,英単語 共通テスト頻出,基礎,,～を比較する,compare,expect,release,mention,struggle,apply,value,confirm,1,compare が正解です。意味の中心を確認しましょう。,経済,2,true
commonimportant_0037,英語,英単語 共通テスト頻出,基礎,,～を調査する,examine,hesitate,demonstrate,efficient,seek,convince,represent,species,1,examine が正解です。意味の中心を確認しましょう。,経済,2,true
commonimportant_0038,英語,英単語 共通テスト頻出,基礎,,～を採用する,adopt,major,obtain,demand,encounter,document,pour,vision,1,adopt が正解です。意味の中心を確認しましょう。,経済,2,true
commonimportant_0039,英語,英単語 共通テスト頻出,基礎,,〜を予測する,predict,accurate,feed,measure,fundamental,extend,concept,rapid,1,predict が正解です。意味の中心を確認しましょう。,環境,2,true
commonimportant_0040,英語,英単語 共通テスト頻出,基礎,,〜に感謝する,appreciate,suffer,allow,chemical,surround,deal,disease,differ,1,appreciate が正解です。意味の中心を確認しましょう。,IT,2,true
commonimportant_0041,英語,英単語 共通テスト頻出,基礎,,～を尊敬する,respect,certain,task,describe,effect,maintain,affect,alternative,1,respect が正解です。意味の中心を確認しましょう。,経済,2,true
commonimportant_0042,英語,英単語 共通テスト頻出,基礎,,用地,site,indicate,attitude,material,ancient,prevent,contain,author,1,site が正解です。意味の中心を確認しましょう。,IT,2,true
commonimportant_0043,英語,英単語 共通テスト頻出,基礎,,〜を予期する,expect,release,ideal,provide,intend,expand,involve,occupation,1,expect が正解です。意味の中心を確認しましょう。,IT,2,true
commonimportant_0044,英語,英単語 共通テスト頻出,基礎,,ためらう,hesitate,demonstrate,solve,succeed,operate,available,encourage,aware,1,hesitate が正解です。意味の中心を確認しましょう。,環境,2,true
commonimportant_0045,英語,英単語 共通テスト頻出,基礎,,主要な,major,obtain,pleasant,reflect,government,senior,occur,accompany,1,major が正解です。意味の中心を確認しましょう。,環境,2,true
commonimportant_0046,英語,英単語 共通テスト頻出,基礎,,正確な,accurate,feed,admit,instance,replace,absorb,divide,commit,1,accurate が正解です。意味の中心を確認しましょう。,環境,2,true
commonimportant_0047,英語,英単語 共通テスト頻出,基礎,,苦しむ,suffer,allow,mention,suggest,role,exist,concentrate,facility,1,suffer が正解です。意味の中心を確認しましょう。,環境,2,true
commonimportant_0048,英語,英単語 共通テスト頻出,基礎,,確信している,certain,task,efficient,perceive,realize,physical,feature,device,1,certain が正解です。意味の中心を確認しましょう。,IT,2,true
commonimportant_0049,英語,英単語 共通テスト頻出,基礎,,～を示す,indicate,attitude,demand,require,attract,remove,abandon,profit,1,indicate が正解です。意味の中心を確認しましょう。,経済,2,true
commonimportant_0050,英語,英単語 共通テスト頻出,基礎,,～を解放する,release,ideal,measure,argue,article,benefit,various,surface,1,release が正解です。意味の中心を確認しましょう。,経済,2,true
commonimportant_0051,英語,英単語 共通テスト頻出,基礎,,〜を示す,demonstrate,solve,chemical,struggle,recover,previous,bother,force,1,demonstrate が正解です。意味の中心を確認しましょう。,経済,3,true
commonimportant_0052,英語,英単語 共通テスト頻出,基礎,,～を得る,obtain,pleasant,describe,seek,refuse,passage,specific,survey,1,obtain が正解です。意味の中心を確認しましょう。,IT,3,true
commonimportant_0053,英語,英単語 共通テスト頻出,基礎,,～に食べ物を与える,feed,admit,material,encounter,include,achieve,avoid,opportunity,1,feed が正解です。意味の中心を確認しましょう。,経済,3,true
commonimportant_0054,英語,英単語 共通テスト頻出,基礎,,～を許可する,allow,mention,provide,fundamental,improve,decline,insist,region,1,allow が正解です。意味の中心を確認しましょう。,環境,3,true
commonimportant_0055,英語,英単語 共通テスト頻出,基礎,,仕事,task,efficient,succeed,surround,apply,employ,participate,equivalent,1,task が正解です。意味の中心を確認しましょう。,環境,3,true
commonimportant_0056,英語,英単語 共通テスト頻出,基礎,,態度,attitude,demand,reflect,effect,convince,recognize,active,primary,1,attitude が正解です。意味の中心を確認しましょう。,IT,3,true
